"","Comparison","Transformation","Taxa_Grouping","Size_Grouping","Environment_Grouping","R2","P_Value","n_samples","Has_Higher_R2"
"262","Raw vs. Zooscan","none","Euphausiacea","1-2","All",0.582730848093123,0.0773669264968377,6,""
"263","Raw vs. Zooscan","none","Euphausiacea","All","offshore",0.0163113885579599,0.763123702593843,8,""
"264","Raw vs. Zooscan","none","Euphausiacea","All","onshore",0.0052458481432853,0.83239989338799,11,""
"265","Raw vs. Zooscan","none","Euphausiacea","All","All",0.0199910347280042,0.563685301717932,19,""
"266","Raw vs. Zooscan","none","Oithonidae","0.2-1","offshore",0.00782248255573066,0.835028793826862,8,""
"267","Raw vs. Zooscan","none","Oithonidae","0.2-1","onshore",0.368521367304588,0.201267806778475,6,""
"268","Raw vs. Zooscan","none","Oithonidae","0.2-1","All",0.239553237126392,0.0756790150491495,14,""
"269","Raw vs. Zooscan","none","Oithonidae","All","offshore",0.0141387365424261,0.760601774471524,9,""
"270","Raw vs. Zooscan","none","Oithonidae","All","onshore",0.497462900547231,0.0506715514273721,8,""
"271","Raw vs. Zooscan","none","Oithonidae","All","All",0.334430169320667,0.0150253649145476,17,""
"272","Raw vs. Zooscan","none","All","0.2-1","offshore",0.0156242884741434,0.130100525170311,148,""
"273","Raw vs. Zooscan","none","All","0.2-1","onshore",0.0617684769429351,0.00378439045572179,134,""
"274","Raw vs. Zooscan","none","All","0.2-1","All",0.0315780136400441,0.00274678265820902,282,""
"275","Raw vs. Zooscan","none","All","1-2","offshore",0.00442147077524984,0.459436268746699,126,""
"276","Raw vs. Zooscan","none","All","1-2","onshore",0.001027715508705,0.698907928312775,148,""
"277","Raw vs. Zooscan","none","All","1-2","All",0.00124805998164774,0.560371991332866,274,""
"278","Raw vs. Zooscan","none","All","All","offshore",0.00286919691947418,0.377108017938882,274,""
"279","Raw vs. Zooscan","none","All","All","onshore",0.0145439973330303,0.0430124294277446,282,""
"280","Raw vs. Zooscan","none","All","All","All",0.00478419474384551,0.103263162066675,556,""
"281","Raw vs. Zooscan","log10","Calanoida","0.2-1","offshore",4.75825126078999e-05,0.964129945113703,45,""
"282","Raw vs. Zooscan","log10","Calanoida","0.2-1","onshore",0.000120014007381574,0.941089496743705,48,""
"283","Raw vs. Zooscan","log10","Calanoida","0.2-1","All",1.18998801838571e-05,0.973820442298101,93,""
"284","Raw vs. Zooscan","log10","Calanoida","1-2","offshore",0.000951302052606838,0.856198496778624,37,""
"285","Raw vs. Zooscan","log10","Calanoida","1-2","onshore",0.0102130455096383,0.494317218902597,48,""
"286","Raw vs. Zooscan","log10","Calanoida","1-2","All",0.00356129064777524,0.587454701029622,85,""
"287","Raw vs. Zooscan","log10","Calanoida","All","offshore",0.000850373177547407,0.794812164105251,82,""
"288","Raw vs. Zooscan","log10","Calanoida","All","onshore",0.0038466782562047,0.548304301993136,96,""
"289","Raw vs. Zooscan","log10","Calanoida","All","All",0.00167416672542452,0.587628047221515,178,""
"290","Raw vs. Zooscan","log10","Eucalanidae","0.2-1","offshore",0.082372254969135,0.639653758692626,5,""
"291","Raw vs. Zooscan","log10","Eucalanidae","0.2-1","onshore",0.942440998823474,0.0059652697934404,5,""
"292","Raw vs. Zooscan","log10","Eucalanidae","0.2-1","All",0.428222553920929,0.0400774036530534,10,""
"293","Raw vs. Zooscan","log10","Eucalanidae","1-2","offshore",0.00428228568142886,0.889144718517955,7,""
"294","Raw vs. Zooscan","log10","Eucalanidae","1-2","onshore",0.0618512206039698,0.518746870436854,9,""
"295","Raw vs. Zooscan","log10","Eucalanidae","1-2","All",0.024213111809768,0.564982322090797,16,""
"296","Raw vs. Zooscan","log10","Eucalanidae","All","offshore",0.00190624508798774,0.892826696969594,12,""
"297","Raw vs. Zooscan","log10","Eucalanidae","All","onshore",0.00980608046222425,0.736264382079622,14,""
"298","Raw vs. Zooscan","log10","Eucalanidae","All","All",0.00106736800243404,0.874112501614762,26,""
"299","Raw vs. Zooscan","log10","Euphausiacea","0.2-1","offshore",0.00524542518202551,0.89155198935508,6,""
"300","Raw vs. Zooscan","log10","Euphausiacea","0.2-1","onshore",0.409163734493788,0.121845243083281,7,""
"301","Raw vs. Zooscan","log10","Euphausiacea","0.2-1","All",0.376688264998874,0.0256676030814231,13,""
"302","Raw vs. Zooscan","log10","Euphausiacea","1-2","All",0.547914419777211,0.0924679050597679,6,""
"303","Raw vs. Zooscan","log10","Euphausiacea","All","offshore",0.0159152850252457,0.765955655082433,8,""
"304","Raw vs. Zooscan","log10","Euphausiacea","All","onshore",0.00866950318199704,0.785398420478612,11,""
"305","Raw vs. Zooscan","log10","Euphausiacea","All","All",0.0251111045102011,0.517015223691104,19,""
"306","Raw vs. Zooscan","log10","Oithonidae","0.2-1","offshore",0.0117994723884618,0.797923900627101,8,""
"307","Raw vs. Zooscan","log10","Oithonidae","0.2-1","onshore",0.37601513001904,0.195485286729496,6,""
"308","Raw vs. Zooscan","log10","Oithonidae","0.2-1","All",0.226438170249107,0.0854465441929621,14,""
"309","Raw vs. Zooscan","log10","Oithonidae","All","offshore",0.012194746269708,0.77730784751977,9,""
"310","Raw vs. Zooscan","log10","Oithonidae","All","onshore",0.505288036159058,0.0480955270107899,8,""
"311","Raw vs. Zooscan","log10","Oithonidae","All","All",0.325437351822549,0.0167887212965059,17,""
"312","Raw vs. Zooscan","log10","All","0.2-1","offshore",0.0193436970140303,0.0918230899381156,148,""
"313","Raw vs. Zooscan","log10","All","0.2-1","onshore",0.0745593866916922,0.00141231665682818,134,""
"314","Raw vs. Zooscan","log10","All","0.2-1","All",0.0375592760211131,0.0010712853723103,282,""
"315","Raw vs. Zooscan","log10","All","1-2","offshore",0.00504838900699668,0.429172661076371,126,""
"316","Raw vs. Zooscan","log10","All","1-2","onshore",0.00148428940990204,0.642007766981553,148,""
"317","Raw vs. Zooscan","log10","All","1-2","All",0.00119544856322945,0.568761569071116,274,""
"318","Raw vs. Zooscan","log10","All","All","offshore",0.00248290456249124,0.411331722141711,274,""
"319","Raw vs. Zooscan","log10","All","All","onshore",0.017113919992426,0.0280536941692217,282,""
"320","Raw vs. Zooscan","log10","All","All","All",0.00487144124227578,0.100163778848993,556,""
"321","Raw vs. Zooscan","arcsinsqrt","Calanoida","0.2-1","offshore",7.75087384238551e-06,0.985518889043004,45,""
"322","Raw vs. Zooscan","arcsinsqrt","Calanoida","0.2-1","onshore",0.000346484355881232,0.900069468692112,48,""
"323","Raw vs. Zooscan","arcsinsqrt","Calanoida","0.2-1","All",6.99815595220892e-09,0.999365020904225,93,""
"324","Raw vs. Zooscan","arcsinsqrt","Calanoida","1-2","offshore",0.00482412389309518,0.682923474975621,37,""
"325","Raw vs. Zooscan","arcsinsqrt","Calanoida","1-2","onshore",0.0107491535275393,0.483139406334413,48,""
"326","Raw vs. Zooscan","arcsinsqrt","Calanoida","1-2","All",0.00156093207039561,0.719596157350882,85,""
"327","Raw vs. Zooscan","arcsinsqrt","Calanoida","All","offshore",0.00103992212332062,0.773646627383266,82,""
"328","Raw vs. Zooscan","arcsinsqrt","Calanoida","All","onshore",0.00594270549847483,0.45534612191583,96,""
"329","Raw vs. Zooscan","arcsinsqrt","Calanoida","All","All",0.00255909841821906,0.50247767886895,178,""
"330","Raw vs. Zooscan","arcsinsqrt","Eucalanidae","0.2-1","offshore",0.106721005879212,0.591577326989566,5,""
"331","Raw vs. Zooscan","arcsinsqrt","Eucalanidae","0.2-1","onshore",0.691735030901561,0.080752781710922,5,""
"332","Raw vs. Zooscan","arcsinsqrt","Eucalanidae","0.2-1","All",0.282460359389343,0.113884406594592,10,""
"333","Raw vs. Zooscan","arcsinsqrt","Eucalanidae","1-2","offshore",0.000472842870284854,0.963093352543481,7,""
"334","Raw vs. Zooscan","arcsinsqrt","Eucalanidae","1-2","onshore",0.0820501131065716,0.454902091519749,9,""
"335","Raw vs. Zooscan","arcsinsqrt","Eucalanidae","1-2","All",0.0276111950525864,0.538522526045062,16,""
"336","Raw vs. Zooscan","arcsinsqrt","Eucalanidae","All","offshore",0.00111474901226433,0.917956572679007,12,""
"337","Raw vs. Zooscan","arcsinsqrt","Eucalanidae","All","onshore",0.000263011458669909,0.956117612454513,14,""
"338","Raw vs. Zooscan","arcsinsqrt","Eucalanidae","All","All",0.0058134333665324,0.711234795297655,26,""
"339","Raw vs. Zooscan","arcsinsqrt","Euphausiacea","0.2-1","offshore",4.37423352239391e-05,0.990079446376993,6,""
"340","Raw vs. Zooscan","arcsinsqrt","Euphausiacea","0.2-1","onshore",0.37374649095102,0.144671341234601,7,""
"341","Raw vs. Zooscan","arcsinsqrt","Euphausiacea","0.2-1","All",0.315650965334555,0.0456907331670806,13,""
"342","Raw vs. Zooscan","arcsinsqrt","Euphausiacea","1-2","All",0.374174913206577,0.196893518636558,6,""
"343","Raw vs. Zooscan","arcsinsqrt","Euphausiacea","All","offshore",0.00259242315124933,0.904697658794378,8,""
"344","Raw vs. Zooscan","arcsinsqrt","Euphausiacea","All","onshore",0.0239352980497259,0.649681193837596,11,""
"345","Raw vs. Zooscan","arcsinsqrt","Euphausiacea","All","All",0.0540002530058944,0.338392479962787,19,""
"346","Raw vs. Zooscan","arcsinsqrt","Oithonidae","0.2-1","offshore",0.0259275522425456,0.703264836661255,8,""
"347","Raw vs. Zooscan","arcsinsqrt","Oithonidae","0.2-1","onshore",0.492803543994501,0.119974451098635,6,""
"348","Raw vs. Zooscan","arcsinsqrt","Oithonidae","0.2-1","All",0.192666369908636,0.116376126931902,14,""
"349","Raw vs. Zooscan","arcsinsqrt","Oithonidae","All","offshore",0.0719366131622857,0.485310582733827,9,""
"350","Raw vs. Zooscan","arcsinsqrt","Oithonidae","All","onshore",0.639202546044936,0.0172414196642585,8,""
"351","Raw vs. Zooscan","arcsinsqrt","Oithonidae","All","All",0.380013945162582,0.00840339836912952,17,""
"352","Raw vs. Zooscan","arcsinsqrt","All","0.2-1","offshore",0.0283344125283657,0.040849436418341,148,""
"353","Raw vs. Zooscan","arcsinsqrt","All","0.2-1","onshore",0.104468491475535,0.000139414364412765,134,""
"354","Raw vs. Zooscan","arcsinsqrt","All","0.2-1","All",0.053364158490128,9.03598059412729e-05,282,""
"355","Raw vs. Zooscan","arcsinsqrt","All","1-2","offshore",0.00289796907130666,0.549383889907826,126,""
"356","Raw vs. Zooscan","arcsinsqrt","All","1-2","onshore",0.00129323865818085,0.664344346088325,148,""
"357","Raw vs. Zooscan","arcsinsqrt","All","1-2","All",0.000500714141031085,0.712312445289791,274,""
"358","Raw vs. Zooscan","arcsinsqrt","All","All","offshore",0.00222189383097708,0.437087566257533,274,""
"359","Raw vs. Zooscan","arcsinsqrt","All","All","onshore",0.0203435803745329,0.0165385627675131,282,""
"360","Raw vs. Zooscan","arcsinsqrt","All","All","All",0.00568624749417792,0.0756333616409302,556,""
